hotel,url,image_url,price,address,location,note,score,avg review,reviews count,property
Pan House,https://www.booking.com/hotel/vn/pan-house-tay-ho.vi.html?aid=304142&label=gen173nr-1FCAQoggI46wdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAL2w9W5BsACAdICJGYzNDM2MDkyLTJhYWMtNGNlOS05MjI0LTExMDMwZDc5NGRjNdgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-01&checkout=2024-12-02&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=21&sr_order=popularity&srpvid=e350123bd393056f&srepoch=1731551744&all_sr_blocks=1055407101_385288600_2_10_0_634813&highlighted_blocks=1055407101_385288600_2_10_0_634813&matching_block_id=1055407101_385288600_2_10_0_634813&sr_pri_blocks=1055407101_385288600_2_10_0_634813_39370000&from_sustainable_property_sr=1&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/482730542.webp?k=1208370ba62100769d7e5cbf658696c4184acc2fdb9e956981e35416b11946b2&o=,VND 393.700,"Quận Tây Hồ, Hà Nội",Cách trung tâm 5km,None,"Đạt điểm 8,9
8,9",Tuyệt vời,170,1 giường đôi lớn
Old Quarter Hanoi Autumn House 8,https://www.booking.com/hotel/vn/old-quarter-hanoi-autumn-house-8.vi.html?aid=304142&label=gen173nr-1FCAQoggI46wdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAL2w9W5BsACAdICJGYzNDM2MDkyLTJhYWMtNGNlOS05MjI0LTExMDMwZDc5NGRjNdgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-01&checkout=2024-12-02&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=popularity&srpvid=e350123bd393056f&srepoch=1731551744&all_sr_blocks=1132688403_385914855_1_0_0&highlighted_blocks=1132688403_385914855_1_0_0&matching_block_id=1132688403_385914855_1_0_0&sr_pri_blocks=1132688403_385914855_1_0_0__23700000&from_sustainable_property_sr=1&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/598525911.webp?k=95723cb95b5b72abbb24626c99054594ce256a07a46c6e6e8e76e300af19af1e&o=,VND 237.000,"Quận Hoàn Kiếm, Hà Nội","Cách trung tâm 0,6km",None,"Đạt điểm 7,5
7,5",Tốt,37,1 giường tầng
Label6 Studio West Lake,https://www.booking.com/hotel/vn/label6-studio-west-lake.vi.html?aid=304142&label=gen173nr-1FCAQoggI46wdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAL2w9W5BsACAdICJGYzNDM2MDkyLTJhYWMtNGNlOS05MjI0LTExMDMwZDc5NGRjNdgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-01&checkout=2024-12-02&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=popularity&srpvid=e350123bd393056f&srepoch=1731551744&all_sr_blocks=1294477704_403271136_2_0_0_701977&highlighted_blocks=1294477704_403271136_2_0_0_701977&matching_block_id=1294477704_403271136_2_0_0_701977&sr_pri_blocks=1294477704_403271136_2_0_0_701977_84420000&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/610224123.webp?k=16830781308038b802abe527c79128b384b17cc914e224a737d5728dffe31409&o=,VND 844.200,"Quận Tây Hồ, Hà Nội","Cách trung tâm 4,7km",None,"Đạt điểm 10
10",Xuất sắc,9,1 giường đôi lớn
M house 26 Yen Phu 5th,https://www.booking.com/hotel/vn/can-ho-view-ho-voi-khong-gian-xanh.vi.html?aid=304142&label=gen173nr-1FCAQoggI46wdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAL2w9W5BsACAdICJGYzNDM2MDkyLTJhYWMtNGNlOS05MjI0LTExMDMwZDc5NGRjNdgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-01&checkout=2024-12-02&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&srpvid=e350123bd393056f&srepoch=1731551744&all_sr_blocks=931361301_365206184_1_0_0&highlighted_blocks=931361301_365206184_1_0_0&matching_block_id=931361301_365206184_1_0_0&sr_pri_blocks=931361301_365206184_1_0_0__33300000&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/410705770.webp?k=dd5511e035bcd26d1bb401da0bcfafee9a9eba1bd0d5e25688d96de198bdaf61&o=,VND 333.000,"Quận Tây Hồ, Hà Nội",Cách trung tâm 3km,None,"Đạt điểm 8,2
8,2",Rất tốt,17,1 giường đôi
Reyna Luxury Hotel & Spa,https://www.booking.com/hotel/vn/reyna-luxuty.vi.html?aid=304142&label=gen173nr-1FCAQoggI46wdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAL2w9W5BsACAdICJGYzNDM2MDkyLTJhYWMtNGNlOS05MjI0LTExMDMwZDc5NGRjNdgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-01&checkout=2024-12-02&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=e350123bd393056f&srepoch=1731551744&all_sr_blocks=915943504_0_1_0_0&highlighted_blocks=915943504_0_1_0_0&matching_block_id=915943504_0_1_0_0&sr_pri_blocks=915943504_0_1_0_0__99249303&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/422876494.webp?k=0b7a41ab700a0329879be1d5444be5ba8873a5026f29fe384a92ac84309e17ab&o=,VND 992.493,Hà Nội,"Cách trung tâm 7,7km",None,"Đạt điểm 8,9
8,9",Tuyệt vời,48,"3 giường (2 giường đơn, 1 giường đôi lớn)"
Calidas Landmark72 Royal Residence Hanoi,https://www.booking.com/hotel/vn/po-calidas-landmark72-royal-residence-hanoi.vi.html?aid=304142&label=gen173nr-1FCAQoggI46wdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAL2w9W5BsACAdICJGYzNDM2MDkyLTJhYWMtNGNlOS05MjI0LTExMDMwZDc5NGRjNdgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-01&checkout=2024-12-02&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=26&sr_order=popularity&srpvid=e350123bd393056f&srepoch=1731551742&all_sr_blocks=0_0_1_0_0&highlighted_blocks=0_0_1_0_0&matching_block_id=0_0_1_0_0&sr_pri_blocks=0_0_1_0_0__296024038&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/571059107.webp?k=ffcd6e81b0aae1db1ae190bbde40d320dce6416530e0f57bfef1c969595ac9e8&o=,VND 2.960.240,Hà Nội,"Cách trung tâm 7,3km",None,No info,No info,No info,1 giường đôi lớn
Ivy Hotel & Apartment - STAY 24h,https://www.booking.com/hotel/vn/ivy-amp-apartment-dong-da.vi.html?aid=304142&label=gen173nr-1FCAQoggI46wdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAL2w9W5BsACAdICJGYzNDM2MDkyLTJhYWMtNGNlOS05MjI0LTExMDMwZDc5NGRjNdgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-01&checkout=2024-12-02&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=27&sr_order=popularity&srpvid=e350123bd393056f&srepoch=1731551742&all_sr_blocks=969715404_403031863_1_0_0_692245&highlighted_blocks=969715404_403031863_1_0_0_692245&matching_block_id=969715404_403031863_1_0_0_692245&sr_pri_blocks=969715404_403031863_1_0_0_692245_66752100&from_sustainable_property_sr=1&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/453541721.webp?k=17791c5d6bb44cce57895131ae45aee108ad28a174314990f312ef0e8377b113&o=,VND 667.521,"Quận Ba Đình, Hà Nội","Cách trung tâm 1,3km",None,"Đạt điểm 7,9
7,9",Tốt,226,1 giường đôi
FlowerGod Riverside,https://www.booking.com/hotel/vn/jiga-house.vi.html?aid=304142&label=gen173nr-1FCAQoggI46wdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAL2w9W5BsACAdICJGYzNDM2MDkyLTJhYWMtNGNlOS05MjI0LTExMDMwZDc5NGRjNdgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-01&checkout=2024-12-02&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=28&sr_order=popularity&srpvid=e350123bd393056f&srepoch=1731551742&all_sr_blocks=1258347107_398413989_2_0_0&highlighted_blocks=1258347107_398413989_2_0_0&matching_block_id=1258347107_398413989_2_0_0&sr_pri_blocks=1258347107_398413989_2_0_0__40462500&from_sustainable_property_sr=1&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/586187032.webp?k=a20d69cb2201084818f30065f230b60aae13c0b23136b0af84f04b535e7595a7&o=,VND 404.625,Hà Nội,"Cách trung tâm 4,2km",None,"Đạt điểm 9,4
9,4",Tuyệt hảo,81,1 giường đôi cực lớn
Brand new cozy bedrooms serviced apartment,https://www.booking.com/hotel/vn/brand-new-cozy-bedrooms-serviced-apartment.vi.html?aid=304142&label=gen173nr-1FCAQoggI46wdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAL2w9W5BsACAdICJGYzNDM2MDkyLTJhYWMtNGNlOS05MjI0LTExMDMwZDc5NGRjNdgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-01&checkout=2024-12-02&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=29&sr_order=popularity&srpvid=e350123bd393056f&srepoch=1731551742&all_sr_blocks=1307999901_403618543_1_0_0&highlighted_blocks=1307999901_403618543_1_0_0&matching_block_id=1307999901_403618543_1_0_0&sr_pri_blocks=1307999901_403618543_1_0_0__864000000&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/612973265.webp?k=e6238086b03a106fdb7fc1ebf76840cbe05ab4aabba0d25e7d4628e15be804c1&o=,VND 8.640.000,"Quận Ba Đình, Hà Nội","Cách trung tâm 4,1km",None,No info,No info,No info,1 giường đơn
Diamond Nostalgia Hostel,https://www.booking.com/hotel/vn/maison-d-39-hanoi-boutique.vi.html?aid=304142&label=gen173nr-1FCAQoggI46wdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAL2w9W5BsACAdICJGYzNDM2MDkyLTJhYWMtNGNlOS05MjI0LTExMDMwZDc5NGRjNdgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-01&checkout=2024-12-02&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=30&sr_order=popularity&srpvid=e350123bd393056f&srepoch=1731551742&all_sr_blocks=114553346_339986926_1_1_0&highlighted_blocks=114553346_339986926_1_1_0&matching_block_id=114553346_339986926_1_1_0&sr_pri_blocks=114553346_339986926_1_1_0__17010000&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/607563670.webp?k=f265cc4d58943660de85bd7c06ee66c1fdfeb25e747997e007d7141ea9857bfd&o=,VND 170.100,"Quận Hoàn Kiếm, Hà Nội","Cách trung tâm 0,9km",None,"Đạt điểm 7,3
7,3",Tốt,383,1 giường đơn
Luxeden Hotel,https://www.booking.com/hotel/vn/luxeden.vi.html?aid=304142&label=gen173nr-1FCAQoggI46wdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAL2w9W5BsACAdICJGYzNDM2MDkyLTJhYWMtNGNlOS05MjI0LTExMDMwZDc5NGRjNdgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-01&checkout=2024-12-02&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=31&sr_order=popularity&srpvid=e350123bd393056f&srepoch=1731551742&all_sr_blocks=32979225_399047082_1_1_0_605940&highlighted_blocks=32979225_399047082_1_1_0_605940&matching_block_id=32979225_399047082_1_1_0_605940&sr_pri_blocks=32979225_399047082_1_1_0_605940_92944200&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/56058116.webp?k=61222df240d2563f5c9feec9ba99d3cb399f3d41a1cbc7dcfe46c06b5fc69c56&o=,VND 929.442,"Cau Giay, Hà Nội","Cách trung tâm 6,6km",None,"Đạt điểm 8,9
8,9",Tuyệt vời,115,1 giường đôi lớn
Heart of Hoan Kiem super aesthetic,https://www.booking.com/hotel/vn/heart-of-hoan-kiem-super-aesthetic.vi.html?aid=304142&label=gen173nr-1FCAQoggI46wdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAL2w9W5BsACAdICJGYzNDM2MDkyLTJhYWMtNGNlOS05MjI0LTExMDMwZDc5NGRjNdgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-01&checkout=2024-12-02&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=32&sr_order=popularity&srpvid=e350123bd393056f&srepoch=1731551742&all_sr_blocks=1088120501_386520229_1_0_0&highlighted_blocks=1088120501_386520229_1_0_0&matching_block_id=1088120501_386520229_1_0_0&sr_pri_blocks=1088120501_386520229_1_0_0__39150000&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/497495360.webp?k=538e0bda83f3fd12d1d517e0cf535707a418b8089730d47407685925fc7a64fd&o=,VND 391.500,"Quận Hoàn Kiếm, Hà Nội","Cách trung tâm 0,7km",None,"Đạt điểm 7,7
7,7",Tốt,20,1 giường đôi
Era Apartment Tran Thai Tong,https://www.booking.com/hotel/vn/era-dv-apartment.vi.html?aid=304142&label=gen173nr-1FCAQoggI46wdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAL2w9W5BsACAdICJGYzNDM2MDkyLTJhYWMtNGNlOS05MjI0LTExMDMwZDc5NGRjNdgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-01&checkout=2024-12-02&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=33&sr_order=popularity&srpvid=e350123bd393056f&srepoch=1731551742&all_sr_blocks=966509001_369149942_1_0_0&highlighted_blocks=966509001_369149942_1_0_0&matching_block_id=966509001_369149942_1_0_0&sr_pri_blocks=966509001_369149942_1_0_0__41850000&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/431875940.webp?k=5e6d3ee0bd9094823e9770310ea06e0d6dfb9a5c2f811f51b88dc42c4e14ffb4&o=,VND 418.500,"Cau Giay, Hà Nội","Cách trung tâm 6,5km",None,"Đạt điểm 8,2
8,2",Rất tốt,213,1 giường đôi lớn
Ubuntu Hostel and Tour,https://www.booking.com/hotel/vn/hang-bac-backpacker-hostel.vi.html?aid=304142&label=gen173nr-1FCAQoggI46wdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAL2w9W5BsACAdICJGYzNDM2MDkyLTJhYWMtNGNlOS05MjI0LTExMDMwZDc5NGRjNdgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-01&checkout=2024-12-02&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=34&sr_order=popularity&srpvid=e350123bd393056f&srepoch=1731551742&all_sr_blocks=397594414_181299359_0_0_0&highlighted_blocks=397594414_181299359_0_0_0&matching_block_id=397594414_181299359_0_0_0&sr_pri_blocks=397594414_181299359_0_0_0__9600000&from_sustainable_property_sr=1&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/518475403.webp?k=5492e20c4f0e7b4ad4a5e719320f6e3d931de5396e3572cb7db48537c665c1e2&o=,VND 96.000,"Quận Hoàn Kiếm, Hà Nội","Cách trung tâm 0,7km",None,"Đạt điểm 7,9
7,9",Tốt,571,1 giường tầng
Hanoi House Hostel & Travel,https://www.booking.com/hotel/vn/hanoi-guesthouse.vi.html?aid=304142&label=gen173nr-1FCAQoggI46wdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAL2w9W5BsACAdICJGYzNDM2MDkyLTJhYWMtNGNlOS05MjI0LTExMDMwZDc5NGRjNdgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-01&checkout=2024-12-02&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=35&sr_order=popularity&srpvid=e350123bd393056f&srepoch=1731551742&all_sr_blocks=29379212_265774357_1_0_0_55074&highlighted_blocks=29379212_265774357_1_0_0_55074&matching_block_id=29379212_265774357_1_0_0_55074&sr_pri_blocks=29379212_265774357_1_0_0_55074_27300000&from_sustainable_property_sr=1&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/227562980.webp?k=4b03fac4c72ca7ab1362b8d76d85123e879f98366d16aee10c47b4f56a89838e&o=,VND 273.000,"Quận Hoàn Kiếm, Hà Nội","Cách trung tâm 0,7km",None,"Đạt điểm 8,4
8,4",Rất tốt,622,1 giường tầng
Era Apartment Thai Ha,https://www.booking.com/hotel/vn/era-th-apartment.vi.html?aid=304142&label=gen173nr-1FCAQoggI46wdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAL2w9W5BsACAdICJGYzNDM2MDkyLTJhYWMtNGNlOS05MjI0LTExMDMwZDc5NGRjNdgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-01&checkout=2024-12-02&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=36&sr_order=popularity&srpvid=e350123bd393056f&srepoch=1731551742&all_sr_blocks=966606801_385997802_1_0_0&highlighted_blocks=966606801_385997802_1_0_0&matching_block_id=966606801_385997802_1_0_0&sr_pri_blocks=966606801_385997802_1_0_0__42780000&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/584004958.webp?k=f9f2ec1a2ac7eb14f17129aed6d226ebbc44e138baf974bd2cf03dd63ca3e60b&o=,VND 427.800,"Quận Đống Đa, Hà Nội","Cách trung tâm 3,7km",None,"Đạt điểm 7,7
7,7",Tốt,71,1 giường đôi lớn
Patel Hotel Hanoi,https://www.booking.com/hotel/vn/patel-hanoi-tu-liem.vi.html?aid=304142&label=gen173nr-1FCAQoggI46wdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAL2w9W5BsACAdICJGYzNDM2MDkyLTJhYWMtNGNlOS05MjI0LTExMDMwZDc5NGRjNdgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-01&checkout=2024-12-02&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=37&sr_order=popularity&srpvid=e350123bd393056f&srepoch=1731551742&all_sr_blocks=612564701_398977389_2_0_0&highlighted_blocks=612564701_398977389_2_0_0&matching_block_id=612564701_398977389_2_0_0&sr_pri_blocks=612564701_398977389_2_0_0__45785300&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/248178426.webp?k=6809e45c5e39589c916f017a15c303190975fbf08643a1172533d4570c388455&o=,VND 457.853,Hà Nội,"Cách trung tâm 8,6km",None,"Đạt điểm 7,8
7,8",Tốt,67,1 giường đôi lớn
Radish Cathedral Homestay,https://www.booking.com/hotel/vn/radish-cathedral-homestay.vi.html?aid=304142&label=gen173nr-1FCAQoggI46wdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAL2w9W5BsACAdICJGYzNDM2MDkyLTJhYWMtNGNlOS05MjI0LTExMDMwZDc5NGRjNdgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-01&checkout=2024-12-02&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=38&sr_order=popularity&srpvid=e350123bd393056f&srepoch=1731551742&all_sr_blocks=924446703_392225261_0_0_0&highlighted_blocks=924446703_392225261_0_0_0&matching_block_id=924446703_392225261_0_0_0&sr_pri_blocks=924446703_392225261_0_0_0__30000000&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/449710145.webp?k=02dd6810048502f3b54e035ec74f7b02bdf8b723a1e766cc7b8ee676cffc41f9&o=,VND 300.000,"Quận Hoàn Kiếm, Hà Nội",Cách trung tâm 450m,None,"Đạt điểm 7,5
7,5",Tốt,132,1 giường đôi
Hanoi La Charm Hotel & Spa,https://www.booking.com/hotel/vn/hanoi-la-charm-amp-spa.vi.html?aid=304142&label=gen173nr-1FCAQoggI46wdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAL2w9W5BsACAdICJGYzNDM2MDkyLTJhYWMtNGNlOS05MjI0LTExMDMwZDc5NGRjNdgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-01&checkout=2024-12-02&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=39&sr_order=popularity&srpvid=e350123bd393056f&srepoch=1731551742&all_sr_blocks=1266704801_399502483_2_1_0&highlighted_blocks=1266704801_399502483_2_1_0&matching_block_id=1266704801_399502483_2_1_0&sr_pri_blocks=1266704801_399502483_2_1_0__93000000&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/590349949.webp?k=38919b831b5ca8d01e223d7d5443486e0318d04852f8fc9df962f5ba72c24ac8&o=,VND 930.000,"Quận Hoàn Kiếm, Hà Nội",Cách trung tâm 1km,None,"Đạt điểm 9,1
9,1",Tuyệt hảo,248,1 giường đôi hoặc 2 giường đơn
Era Apartment Khuc Thua Du,https://www.booking.com/hotel/vn/era-apartment-cau-giay.vi.html?aid=304142&label=gen173nr-1FCAQoggI46wdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAL2w9W5BsACAdICJGYzNDM2MDkyLTJhYWMtNGNlOS05MjI0LTExMDMwZDc5NGRjNdgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-01&checkout=2024-12-02&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=40&sr_order=popularity&srpvid=e350123bd393056f&srepoch=1731551742&all_sr_blocks=1020615003_385997800_2_0_0&highlighted_blocks=1020615003_385997800_2_0_0&matching_block_id=1020615003_385997800_2_0_0&sr_pri_blocks=1020615003_385997800_2_0_0__40460000&from_sustainable_property_sr=1&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/466877486.webp?k=a6ee9dd927da14a117188a6709de51fd5bdfee77a77d3df0817f02181d6ee75a&o=,VND 404.600,"Cau Giay, Hà Nội","Cách trung tâm 6,2km",None,"Đạt điểm 8,0
8,0",Rất tốt,243,1 giường đôi lớn
MoonLight Tay Ho,https://www.booking.com/hotel/vn/harmonie-yen-hoa.vi.html?aid=304142&label=gen173nr-1FCAQoggI46wdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAL2w9W5BsACAdICJGYzNDM2MDkyLTJhYWMtNGNlOS05MjI0LTExMDMwZDc5NGRjNdgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-01&checkout=2024-12-02&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=41&sr_order=popularity&srpvid=e350123bd393056f&srepoch=1731551742&all_sr_blocks=897488402_0_1_0_0&highlighted_blocks=897488402_0_1_0_0&matching_block_id=897488402_0_1_0_0&sr_pri_blocks=897488402_0_1_0_0__67839370&from_sustainable_property_sr=1&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/445079482.webp?k=336e8cbe9e55e2c137a4ed6ffdffb478b94cdd5d182e64b8d1e0379f33ae9e6c&o=,VND 678.394,"Quận Tây Hồ, Hà Nội","Cách trung tâm 2,9km",None,"Đạt điểm 8,9
8,9",Tuyệt vời,613,1 giường đôi cực lớn
Hanoi City Backpackers Hostel,https://www.booking.com/hotel/vn/joy.vi.html?aid=304142&label=gen173nr-1FCAQoggI46wdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAL2w9W5BsACAdICJGYzNDM2MDkyLTJhYWMtNGNlOS05MjI0LTExMDMwZDc5NGRjNdgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-01&checkout=2024-12-02&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=42&sr_order=popularity&srpvid=e350123bd393056f&srepoch=1731551742&all_sr_blocks=7113412_128024612_0_1_0_389937&highlighted_blocks=7113412_128024612_0_1_0_389937&matching_block_id=7113412_128024612_0_1_0_389937&sr_pri_blocks=7113412_128024612_0_1_0_389937_19161100&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/59731225.webp?k=dd0514f7ae3cc1f1a38d47fa3abda7b6196190428297a5fc37c6a3bebbe133a6&o=,VND 191.611,"Quận Hoàn Kiếm, Hà Nội","Cách trung tâm 0,9km",None,"Đạt điểm 8,5
8,5",Rất tốt,2.422,1 giường tầng
HANZ Ami Central Hotel,https://www.booking.com/hotel/vn/hanz-front-ami-hanoi.vi.html?aid=304142&label=gen173nr-1FCAQoggI46wdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAL2w9W5BsACAdICJGYzNDM2MDkyLTJhYWMtNGNlOS05MjI0LTExMDMwZDc5NGRjNdgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-01&checkout=2024-12-02&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=43&sr_order=popularity&srpvid=e350123bd393056f&srepoch=1731551742&all_sr_blocks=911585901_372189427_2_0_0_213441&highlighted_blocks=911585901_372189427_2_0_0_213441&matching_block_id=911585901_372189427_2_0_0_213441&sr_pri_blocks=911585901_372189427_2_0_0_213441_47207400&from_sustainable_property_sr=1&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/577921067.webp?k=54cebcda789482366417d918af712679cacca8d9ca4c0c928ad32d2a1ce42e36&o=,VND 472.074,"Quận Hoàn Kiếm, Hà Nội","Cách trung tâm 1,3km",None,"Đạt điểm 10
10",Xuất sắc,3,1 giường đôi lớn
BIG Apartment Ha Noi,https://www.booking.com/hotel/vn/alaya-6-apartment.vi.html?aid=304142&label=gen173nr-1FCAQoggI46wdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAL2w9W5BsACAdICJGYzNDM2MDkyLTJhYWMtNGNlOS05MjI0LTExMDMwZDc5NGRjNdgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-01&checkout=2024-12-02&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=44&sr_order=popularity&srpvid=e350123bd393056f&srepoch=1731551742&all_sr_blocks=435292701_396548002_0_0_0_563961&highlighted_blocks=435292701_396548002_0_0_0_563961&matching_block_id=435292701_396548002_0_0_0_563961&sr_pri_blocks=435292701_396548002_0_0_0_563961_61200000&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/584200643.webp?k=b588a1a60a8017a24b3f6181146cfeede3d17d4b3bfe221f97d49154a5cc4f28&o=,VND 612.000,"Cau Giay, Hà Nội","Cách trung tâm 6,6km",None,"Đạt điểm 8,2
8,2",Rất tốt,111,1 giường đôi
